Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,0.002051,0.010729,0.001971,0.008972,0.008972,1600280746
2018-01-01,0.009031,0.018773,0.005499,0.006010,0.006010,2279939096
2018-02-01,0.006021,0.008288,0.003036,0.006018,0.006018,604638980
2018-03-01,0.006042,0.006320,0.002648,0.002819,0.002819,289734010
2018-04-01,0.002818,0.005958,0.002595,0.005210,0.005210,586307740
2018-05-01,0.005272,0.005649,0.003168,0.003398,0.003398,612771300
2018-06-01,0.003427,0.003836,0.002293,0.002499,0.002499,252172920
2018-07-01,0.002508,0.004314,0.002187,0.002945,0.002945,301184320
2018-08-01,0.003018,0.004849,0.002143,0.004794,0.004794,273763090
2018-09-01,0.004741,0.006933,0.004337,0.005906,0.005906,1262094700
2018-10-01,0.005901,0.006024,0.003676,0.003764,0.003764,429941130
2018-11-01,0.003759,0.003951,0.002006,0.002165,0.002165,418716576
2018-12-01,0.002175,0.002779,0.002031,0.002346,0.002346,617721598
2019-01-01,0.002346,0.002458,0.001912,0.001925,0.001925,511305663
2019-02-01,0.001926,0.002139,0.001835,0.001976,0.001976,499741541
2019-03-01,0.001976,0.002166,0.001947,0.002080,0.002080,562498635
2019-04-01,0.002082,0.004096,0.002078,0.002513,0.002513,1400015460
2019-05-01,0.002510,0.003600,0.002449,0.003441,0.003441,1675945265
2019-06-01,0.003443,0.003523,0.002978,0.003258,0.003258,1842322398
2019-07-01,0.003250,0.004471,0.002772,0.002899,0.002899,1162658709
2019-08-01,0.002900,0.003316,0.002392,0.002511,0.002511,692307031
2019-09-01,0.002512,0.002993,0.002076,0.002387,0.002387,1158043569
2019-10-01,0.002393,0.002932,0.002283,0.002615,0.002615,1988136532
2019-11-01,0.002617,0.002785,0.002128,0.002320,0.002320,2615821534
2019-12-01,0.002320,0.002394,0.001997,0.002028,0.002028,2184690625
2020-01-01,0.002028,0.002570,0.001983,0.002394,0.002394,2631362276
2020-02-01,0.002391,0.003531,0.002211,0.002235,0.002235,4372172774
2020-03-01,0.002233,0.002531,0.001247,0.001811,0.001811,4611118989
2020-04-01,0.001812,0.002689,0.001776,0.002443,0.002443,5522934568
2020-05-01,0.002444,0.002678,0.002338,0.002555,0.002555,7437597901
2020-06-01,0.002555,0.002669,0.002283,0.002320,0.002320,5370527587
2020-07-01,0.002320,0.005420,0.002277,0.003225,0.003225,4773261866
2020-08-01,0.003225,0.003797,0.003165,0.003221,0.003221,2162711149
2020-09-01,0.003220,0.003281,0.002536,0.002630,0.002630,3034387472
2020-10-01,0.002631,0.002893,0.002518,0.002576,0.002576,2740060981
2020-11-01,0.002576,0.004256,0.002452,0.003551,0.003551,2087948675
2020-12-01,0.003551,0.005406,0.003009,0.004682,0.004682,3671185781
2021-01-01,0.004681,0.077973,0.004615,0.037196,0.037196,69176619504
2021-02-01,0.037054,0.084945,0.029195,0.048052,0.048052,134644162344
2021-03-01,0.048070,0.063052,0.047879,0.053657,0.053657,38710898712
2021-04-01,0.053655,0.437700,0.053644,0.337561,0.337561,351156872866
2021-05-01,0.337559,0.737567,0.218267,0.325810,0.325810,414762218700
2021-06-01,0.325744,0.444590,0.164654,0.254215,0.254215,100113990064
2021-07-01,0.253828,0.260092,0.160728,0.208314,0.208314,52083116246
2021-08-01,0.207753,0.350953,0.193750,0.278453,0.278453,105862617136
2021-09-01,0.278062,0.319751,0.194489,0.204244,0.204244,53499067956
2021-10-01,0.204427,0.338843,0.201994,0.280244,0.280244,99274048636
2021-11-01,0.280123,0.296532,0.190344,0.214715,0.214715,51443079613
2021-12-01,0.214487,0.223011,0.132826,0.170496,0.170496,41345562838
2022-01-01,0.170510,0.203232,0.122816,0.141805,0.141805,33515229253
2022-02-01,0.141805,0.171586,0.109555,0.133156,0.133156,22443865574
2022-03-01,0.133174,0.152737,0.110686,0.137826,0.137826,21546128286
2022-04-01,0.137922,0.178045,0.123869,0.127557,0.127557,46860312737
2022-05-01,0.127589,0.137313,0.070037,0.085865,0.085865,27262573514
2022-06-01,0.085855,0.088647,0.049720,0.066086,0.066086,19084110888
2022-07-01,0.066208,0.076574,0.058398,0.068272,0.068272,13910802977
2022-08-01,0.068266,0.088639,0.060550,0.061330,0.061330,16644457758
2022-09-01,0.061336,0.067973,0.056180,0.061653,0.061653,10761069393
2022-10-01,0.061650,0.149392,0.055741,0.127026,0.127026,40267150421
2022-11-01,0.126985,0.157203,0.072109,0.106860,0.106860,49738850753
2022-12-01,0.106857,0.111012,0.066953,0.070294,0.070294,15636694935
2023-01-01,0.070287,0.097335,0.069289,0.096167,0.096167,17303932740
2023-02-01,0.096157,0.099530,0.079058,0.080749,0.080749,15650955315
2023-03-01,0.080762,0.082564,0.063023,0.077035,0.077035,12819277281
2023-04-01,0.077025,0.102640,0.076144,0.079769,0.079769,27312865153
2023-05-01,0.079760,0.081292,0.069224,0.071660,0.071660,7422348068
2023-06-01,0.071662,0.073250,0.058536,0.066479,0.066479,8267800013
2023-07-01,0.066481,0.083341,0.064000,0.077818,0.077818,15064851952
2023-08-01,0.077824,0.078195,0.058340,0.063785,0.063785,9829583943
2023-09-01,0.063787,0.064658,0.059486,0.062141,0.062141,5518240682
