Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,1.299800,1.381800,1.292500,1.370900,1.370900,0
2015-08-01,1.369700,1.413800,1.344300,1.400400,1.400400,0
2015-09-01,1.406400,1.446800,1.373600,1.427800,1.427800,0
2015-10-01,1.426600,1.427700,1.354600,1.410400,1.410400,0
2015-11-01,1.401100,1.424300,1.372900,1.392000,1.392000,0
2015-12-01,1.382600,1.406000,1.353900,1.372700,1.372700,0
2016-01-01,1.375200,1.463700,1.368300,1.414700,1.414700,0
2016-02-01,1.414200,1.433300,1.377800,1.402900,1.402900,0
2016-03-01,1.400200,1.406400,1.294800,1.305300,1.305300,0
2016-04-01,1.303800,1.334400,1.276300,1.314600,1.314600,0
2016-05-01,1.313900,1.399340,1.296500,1.389700,1.389700,0
2016-06-01,1.381600,1.388300,1.316300,1.338700,1.338700,0
2016-07-01,1.342300,1.349200,1.302600,1.317900,1.317900,0
2016-08-01,1.317900,1.334800,1.289100,1.329000,1.329000,0
2016-09-01,1.329900,1.342400,1.293300,1.310900,1.310900,0
2016-10-01,1.305400,1.331800,1.292700,1.316100,1.316100,0
2016-11-01,1.314400,1.367400,1.286800,1.336100,1.336100,0
2016-12-01,1.353100,1.396500,1.329100,1.387100,1.387100,0
2017-01-01,1.387100,1.394700,1.314100,1.321800,1.321800,0
2017-02-01,1.319600,1.324150,1.291700,1.302700,1.302700,0
2017-03-01,1.308400,1.334500,1.290200,1.306300,1.306300,0
2017-04-01,1.310600,1.343900,1.306340,1.336290,1.336290,0
2017-05-01,1.336200,1.364200,1.323300,1.340600,1.340600,0
2017-06-01,1.346700,1.356200,1.297000,1.301200,1.301200,0
2017-07-01,1.300300,1.320700,1.239800,1.252200,1.252200,0
2017-08-01,1.249410,1.280700,1.243000,1.264700,1.264700,0
2017-09-01,1.259130,1.282000,1.230880,1.274490,1.274490,0
2017-10-01,1.275500,1.311180,1.266400,1.299100,1.299100,0
2017-11-01,1.305590,1.327490,1.293600,1.321600,1.321600,0
2017-12-01,1.321900,1.332940,1.277800,1.280700,1.280700,0
2018-01-01,1.280900,1.282000,1.229100,1.234400,1.234400,0
