Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,1.247590,1.310240,1.247400,1.300560,1.300560,0
2015-08-01,1.312300,1.334700,1.295160,1.323800,1.323800,0
2015-09-01,1.314200,1.342960,1.301290,1.341900,1.341900,0
2015-10-01,1.331700,1.331980,1.285000,1.307497,1.307497,0
2015-11-01,1.307300,1.343500,1.304300,1.336700,1.336700,0
2015-12-01,1.334930,1.399680,1.329700,1.387200,1.387200,0
2016-01-01,1.389970,1.468730,1.383220,1.397761,1.397761,0
2016-02-01,1.397320,1.409910,1.348300,1.354700,1.354700,0
2016-03-01,1.353750,1.354950,1.285970,1.297660,1.297660,0
2016-04-01,1.299000,1.321570,1.249900,1.255382,1.255382,0
2016-05-01,1.255382,1.318610,1.246110,1.303800,1.303800,0
2016-06-01,1.307430,1.314170,1.265500,1.293430,1.293430,0
2016-07-01,1.295770,1.324380,1.283100,1.306199,1.306199,0
2016-08-01,1.306000,1.319870,1.276700,1.308670,1.308670,0
2016-09-01,1.310990,1.327550,1.282380,1.315270,1.315270,0
2016-10-01,1.312905,1.342290,1.300670,1.340200,1.340200,0
2016-11-01,1.341980,1.358760,1.326710,1.343120,1.343120,0
2016-12-01,1.342540,1.359790,1.308260,1.344104,1.344104,0
2017-01-01,1.344104,1.345760,1.296890,1.310230,1.310230,0
2017-02-01,1.304050,1.324720,1.298000,1.318690,1.318690,0
2017-03-01,1.331190,1.353310,1.326780,1.333250,1.333250,0
2017-04-01,1.332321,1.369660,1.322200,1.364573,1.364573,0
2017-05-01,1.364180,1.379180,1.338780,1.347020,1.347020,0
2017-06-01,1.349100,1.354600,1.295580,1.299260,1.299260,0
2017-07-01,1.296714,1.301330,1.241400,1.246140,1.246140,0
2017-08-01,1.250700,1.277740,1.244280,1.262740,1.262740,0
2017-09-01,1.247100,1.252500,1.206200,1.240525,1.240525,0
2017-10-01,1.240525,1.291580,1.240430,1.282430,1.282430,0
2017-11-01,1.289180,1.290800,1.266560,1.286200,1.286200,0
2017-12-01,1.289290,1.291280,1.251570,1.257000,1.257000,0
2018-01-01,1.258080,1.263800,1.225450,1.233610,1.233610,0
2018-02-01,1.230350,1.281770,1.225700,1.277110,1.277110,0
2018-03-01,1.283600,1.312440,1.280100,1.290900,1.290900,0
2018-04-01,1.290900,1.292900,1.254160,1.283980,1.283980,0
2018-05-01,1.283200,1.304580,1.273000,1.289310,1.289310,0
2018-06-01,1.294420,1.337590,1.286290,1.325520,1.325520,0
2018-07-01,1.314700,1.328890,1.299300,1.302800,1.302800,0
2018-08-01,1.301820,1.317360,1.289040,1.298590,1.298590,0
2018-09-01,1.298610,1.322520,1.288430,1.291500,1.291500,0
2018-10-01,1.284070,1.315620,1.278690,1.311400,1.311400,0
2018-11-01,1.315850,1.335860,1.304700,1.327500,1.327500,0
2018-12-01,1.327440,1.372800,1.315950,1.362200,1.362200,0
2019-01-01,1.339430,1.365960,1.312000,1.314100,1.314100,0
2019-02-01,1.312650,1.333920,1.306800,1.314500,1.314500,0
2019-03-01,1.316540,1.346430,1.312800,1.334700,1.334700,0
2019-04-01,1.334800,1.351620,1.327500,1.345470,1.345470,0
2019-05-01,1.339010,1.356230,1.337500,1.352490,1.352490,0
2019-06-01,1.353140,1.356230,1.306330,1.309430,1.309430,0
2019-07-01,1.309050,1.319710,1.301600,1.314760,1.314760,0
2019-08-01,1.319510,1.336000,1.317760,1.328100,1.328100,0
2019-09-01,1.328290,1.338070,1.313500,1.323500,1.323500,0
2019-10-01,1.324250,1.334690,1.304200,1.316540,1.316540,0
2019-11-01,1.316790,1.332440,1.311400,1.327140,1.327140,0
2019-12-01,1.327240,1.332040,1.295310,1.306060,1.306060,0
2020-01-01,1.300200,1.324400,1.291930,1.321130,1.321130,0
2020-02-01,1.323370,1.346180,1.321100,1.335850,1.335850,0
2020-03-01,1.335850,1.466650,1.331490,1.417870,1.417870,0
2020-04-01,1.407720,1.428990,1.385210,1.387430,1.387430,0
2020-05-01,1.395180,1.426100,1.371610,1.374970,1.374970,0
2020-06-01,1.377910,1.378050,1.336100,1.365660,1.365660,0
2020-07-01,1.357440,1.364530,1.333100,1.341280,1.341280,0
2020-08-01,1.340910,1.345040,1.302520,1.308030,1.308030,0
2020-09-01,1.303650,1.342010,1.299400,1.338380,1.338380,0
2020-10-01,1.330500,1.338910,1.308100,1.331530,1.331530,0
2020-11-01,1.331350,1.336620,1.291310,1.298260,1.298260,0
2020-12-01,1.299080,1.299080,1.269040,1.275070,1.275070,0
2021-01-01,1.234990,1.288030,1.234990,1.277600,1.277600,0
2021-02-01,1.280030,1.286810,1.246820,1.273870,1.273870,0
2021-03-01,1.269660,1.273290,1.236550,1.262080,1.262080,0
2021-04-01,1.256300,1.264800,1.226600,1.227620,1.227620,0
2021-05-01,1.228470,1.234730,1.201330,1.207780,1.207780,0
2021-06-01,1.205930,1.248480,1.200800,1.239620,1.239620,0
